date, region, infected, recovered, timestamp_requested
2021-08-02 04:21:36,Kabardino-Balkarian Republic,27092,25058,08-03-2021 09.23.24
2021-08-02 04:21:36,Kaliningrad Oblast,43265,40134,08-03-2021 09.23.24
2021-08-02 04:21:36,Kalmykia Republic,24932,21805,08-03-2021 09.23.24
2021-08-02 04:21:36,Kaluga Oblast,41287,38587,08-03-2021 09.23.24
2021-08-02 04:21:36,Kamchatka Krai,16834,14508,08-03-2021 09.23.24
2021-08-02 04:21:36,Karachay-Cherkess Republic,22445,20700,08-03-2021 09.23.24
2021-08-02 04:21:36,Karelia Republic,55988,52537,08-03-2021 09.23.24
2021-08-02 04:21:36,Kemerovo Oblast,46069,43364,08-03-2021 09.23.24
2021-08-02 04:21:36,Khabarovsk Krai,65773,59243,08-03-2021 09.23.24
2021-08-02 04:21:36,Khakassia Republic,30470,26373,08-03-2021 09.23.24
2021-08-02 04:21:36,Khanty-Mansi Autonomous Okrug,65543,61716,08-03-2021 09.23.24
2021-08-02 04:21:36,Kirov Oblast,50426,47432,08-03-2021 09.23.24
2021-08-02 04:21:36,Komi Republic,55454,47896,08-03-2021 09.23.24
2021-08-02 04:21:36,Kostroma Oblast,27318,22615,08-03-2021 09.23.24
2021-08-02 04:21:36,Krasnodar Krai,59314,47233,08-03-2021 09.23.24
2021-08-02 04:21:36,Krasnoyarsk Krai,91462,76886,08-03-2021 09.23.24
2021-08-02 04:21:36,Kurgan Oblast,25899,23584,08-03-2021 09.23.24
2021-08-02 04:21:36,Kursk Oblast,46641,43591,08-03-2021 09.23.24
2021-08-02 04:21:36,Leningrad Oblast,56327,47255,08-03-2021 09.23.24
2021-08-02 04:21:36,Lipetsk Oblast,39971,34412,08-03-2021 09.23.24
2021-08-02 04:21:36,Magadan Oblast,9525,8733,08-03-2021 09.23.24
2021-08-02 04:21:36,Mari El Republic,16142,14717,08-03-2021 09.23.24
2021-08-02 04:21:36,Mordovia Republic,23934,21094,08-03-2021 09.23.24
2021-08-02 04:21:36,Moscow,1508610,1363505,08-03-2021 09.23.24
2021-08-02 04:21:36,Moscow Oblast,386895,316414,08-03-2021 09.23.24
